TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
0.00324	0.00001	0.00000	449.401	-64.895	-135.116	-1.178	0.000	-3.141	14972	0.430	52.309	-6.274	-7.475	0.169	-0.100	0.156	-0.171	-1.442	1.376	-0.554	-0.164	0.116	-0.441	0.997	0.355	-1.863	-0.784	0.426	-1.469	
4.90131	0.01720	0.00035	451.177	-69.464	-135.150	-1.178	0.000	3.141	15234	0.509	52.947	-6.625	-7.706	0.151	-0.128	0.165	-1.741	-1.178	2.231	-0.251	1.125	0.159	-0.447	0.999	0.355	-1.857	-0.778	0.429	-1.482	
5.12315	0.02864	0.00006	453.130	-74.200	-135.166	-1.178	0.000	3.141	15515	0.625	52.873	-6.368	-7.707	0.250	-0.074	0.075	-0.881	-1.365	1.864	-0.395	0.560	0.081	-0.458	1.001	0.355	-1.848	-0.768	0.435	-1.504	
0.03608	0.00020	0.00009	453.110	-74.177	-135.146	-1.178	0.000	3.141	15766	0.741	52.972	-6.355	-7.889	0.247	-0.080	0.112	-0.954	-1.449	2.025	-0.431	0.610	0.085	-0.457	1.001	0.355	-1.848	-0.768	0.435	-1.504	
2.77932	0.00727	0.00011	454.218	-76.726	-135.109	-1.178	-0.000	3.142	16002	0.539	52.721	-6.465	-7.843	0.159	-0.171	0.162	-1.635	-1.275	2.454	-0.295	1.177	0.166	-0.460	1.002	0.355	-1.845	-0.766	0.436	-1.510	
6.90154	0.03184	0.00023	456.949	-83.064	-135.123	-1.178	-0.000	-3.141	16280	0.548	53.271	-6.458	-7.874	0.220	-0.134	0.098	-1.648	-1.477	2.127	-0.379	1.065	0.141	-0.471	1.005	0.355	-1.834	-0.755	0.442	-1.534	
0.32185	0.00613	0.00024	457.009	-83.380	-135.134	-1.178	0.000	-3.142	16515	0.686	53.386	-6.465	-7.993	0.244	-0.113	0.094	-1.068	-1.408	2.013	-0.382	0.717	0.099	-0.474	1.006	0.355	-1.832	-0.753	0.443	-1.539	
0.34792	0.00010	0.00027	457.144	-83.699	-135.101	-1.178	-0.000	-3.141	16749	1.215	53.129	-6.164	-8.124	0.186	-0.147	0.160	-1.340	-1.522	2.108	-0.378	1.043	0.154	-0.474	1.006	0.355	-1.832	-0.753	0.443	-1.539	
6.85711	0.02707	0.00039	459.922	-89.968	-135.107	-1.178	-0.000	-3.141	17030	4.678	52.920	-0.978	-6.635	0.756	-2.188	-0.129	-5.364	-7.048	2.141	-0.751	1.095	-0.001	-0.483	1.008	0.355	-1.822	-0.744	0.449	-1.560	
1.31493	0.01076	0.00018	460.439	-91.177	-135.088	-1.178	-0.000	-3.141	17257	3.557	52.035	-1.418	-5.235	0.691	-2.342	-0.210	-6.013	-11.023	2.137	-1.097	0.959	-0.095	-0.487	1.010	0.355	-1.818	-0.740	0.451	-1.568	
